127.0.0.1 - - [12/May/2020:17:29:42 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [12/May/2020:17:29:43 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [12/May/2020:17:29:43 +0900] "GET /BBS/css/custom.css HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [12/May/2020:17:29:43 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3041
0:0:0:0:0:0:0:1 - - [12/May/2020:17:29:43 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [12/May/2020:17:29:43 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:17:29:43 +0900] "GET /BBS/images/1_beach.jpg HTTP/1.1" 200 389345
0:0:0:0:0:0:0:1 - - [12/May/2020:17:29:43 +0900] "GET /BBS/images/2_snow.jpg HTTP/1.1" 200 598884
0:0:0:0:0:0:0:1 - - [12/May/2020:17:29:43 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [12/May/2020:17:29:43 +0900] "GET /BBS/images/3_seaside.jpg HTTP/1.1" 200 652240
0:0:0:0:0:0:0:1 - - [12/May/2020:17:29:43 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
