127.0.0.1 - - [28/Apr/2020:23:03:26 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [28/Apr/2020:23:03:27 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [28/Apr/2020:23:03:27 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1562
0:0:0:0:0:0:0:1 - - [28/Apr/2020:23:03:27 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [28/Apr/2020:23:03:27 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [28/Apr/2020:23:03:29 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2241
0:0:0:0:0:0:0:1 - - [28/Apr/2020:23:03:30 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2020:23:03:30 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2020:23:03:37 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [28/Apr/2020:23:03:41 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [28/Apr/2020:23:03:41 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1519
0:0:0:0:0:0:0:1 - - [28/Apr/2020:23:03:41 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2020:23:03:41 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2020:23:03:44 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4119
0:0:0:0:0:0:0:1 - - [28/Apr/2020:23:03:44 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2020:23:03:44 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2020:23:03:46 +0900] "GET /BBS/view.jsp?bbsID=11 HTTP/1.1" 200 2349
0:0:0:0:0:0:0:1 - - [28/Apr/2020:23:03:46 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2020:23:03:46 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2020:23:27:25 +0900] "GET /BBS/view.jsp?bbsID=11 HTTP/1.1" 200 2619
0:0:0:0:0:0:0:1 - - [28/Apr/2020:23:27:25 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2020:23:27:26 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2020:23:27:29 +0900] "GET /BBS/update.jsp?bbsID=11 HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [28/Apr/2020:23:27:31 +0900] "GET /BBS/deleteAction.jsp?bbsID=11 HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [28/Apr/2020:23:27:39 +0900] "GET /BBS/deleteAction.jsp?bbsID=11 HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [28/Apr/2020:23:27:43 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4119
